Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,1998,1998,kg/ha,300,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,1999,1999,kg/ha,334,E,Estimated value,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,2000,2000,kg/ha,291.1,E,Estimated value,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,2001,2001,kg/ha,288.6,E,Estimated value,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,2002,2002,kg/ha,285,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,2003,2003,kg/ha,331.3,E,Estimated value,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,2004,2004,kg/ha,368.5,E,Estimated value,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,2005,2005,kg/ha,400,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,2006,2006,kg/ha,400,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,2007,2007,kg/ha,420,E,Estimated value,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,2008,2008,kg/ha,373.5,E,Estimated value,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,2009,2009,kg/ha,444.1,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,2010,2010,kg/ha,395,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,2011,2011,kg/ha,437.4,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,2012,2012,kg/ha,549.5,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,2013,2013,kg/ha,522.1,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,2014,2014,kg/ha,510,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,2015,2015,kg/ha,510,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,2016,2016,kg/ha,510,X,Figure from international organizations,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,2017,2017,kg/ha,520.1,E,Estimated value,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,2018,2018,kg/ha,524,E,Estimated value,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,2019,2019,kg/ha,528.2,E,Estimated value,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,2020,2020,kg/ha,541.7,E,Estimated value,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,2021,2021,kg/ha,552.6,E,Estimated value,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,2022,2022,kg/ha,560.4,E,Estimated value,
QCL,Crops and livestock products,288,Ghana,5412,Yield,1640,Cocoa beans,2023,2023,kg/ha,568.2,E,Estimated value,
